ticker,cluster,annual_return,annual_volatility,sharpe_ratio,max_drawdown,log_avg_volume,skewness,kurtosis,recent_1y_return
CDNS,0,0.429732137526271,0.3706474136477972,1.1594095134699047,-0.3211696829091163,14.3340979189424,0.1982480908850082,3.4557328399406435,0.1082718021920399
CPT,2,0.0990645819983389,0.2931472958510432,0.3379344902730282,-0.5021734633295891,13.650821005353132,-0.511834696830318,12.02335270457168,0.1997975222009622
CPB,2,0.0304145970639591,0.2454190303258749,0.1239292528520451,-0.31806559338522,14.746706361046472,-0.2184991764806428,6.4108888959190224,-0.0101297129916292
COF,1,0.2547042381815902,0.4471857060384261,0.5695715107667234,-0.6025293906670367,14.921722546364284,0.0030286628447959,10.029711535017272,0.3793861248626111
CAH,0,0.2776257457714648,0.2983452115227885,0.930552041892782,-0.3214166867008211,14.72095042004214,-0.1331808343178362,8.414375362822456,0.1865837071494085
CCL,1,0.1480080836427333,0.7420558609260403,0.1994567948806823,-0.8756365585283493,17.477641035024615,-0.0753467585660104,10.085843796894885,0.3511325166721357
CARR,0,0.5652018319808039,0.3798127234165386,1.4881066302798656,-0.408239405343052,15.45807122838035,1.429452223215408,18.139100132731137,0.2020580189828866
CVNA,3,1.2794149193723203,1.1779249774589708,1.0861599370549766,-0.9899486626121002,15.875156564392846,1.1992799290196865,9.040003758836546,2.977144097346696
CASY,0,0.2667152151425955,0.3022270250838526,0.8824995549904766,-0.3340880315638298,12.468645903345667,0.7785427284801197,14.266681129651367,0.4591342965984408
CAT,0,0.2859476728984498,0.3250488674957866,0.8797067194893591,-0.3784680323711741,14.986010134311204,-0.1295504751816515,4.479346736374119,0.2474454730865829
CBOE,2,0.1665967109730406,0.2822908641134859,0.590159768351787,-0.4053318468930214,13.51382651469781,-0.3937194046929867,10.749411673060331,0.1104386282803557
CBRE,0,0.2514500499073715,0.3844318839625941,0.6540821934838216,-0.5357198455454311,14.362462629481682,0.2651020306820488,8.862981793419264,0.3993985325729017
CDW,2,0.1089028186784344,0.3282158553366545,0.3318024309542622,-0.4482266660432036,13.67272240061098,-0.6746839153896006,8.424910380701922,-0.2287248145322289
COR,0,0.2991538968792868,0.2637884629864993,1.1340674019340926,-0.2378352636660232,14.058612560576847,0.5830623027698532,9.315941531504942,0.1038359547659399
CNC,2,0.0613583274447937,0.3597397780794715,0.1705630880531616,-0.4166838266568936,15.157126172770973,0.2481627354879008,6.5867030655569625,-0.1866325110495655
CNP,1,0.1211690774751341,0.3238740374812417,0.3741240836019531,-0.550000668079787,15.460559918306348,-0.7647476649710124,23.29812764055164,0.1463626171133094
